Site,Date,Species,Time,Code,lookup,Transect,OI_Site,OI_Transects,TPI_Site,TPI_Transects,Isolation,Floral_Diversity,Floral_Richness,Flora,Site_Size,Site_Isolation,Connectivity,Distance_to_Closest_External_Patch,Distance,Day,Month,Year,Wind_ms,Cloud_cover,Temp,Humidity,Radiation,FHD_Simp,Thermal_div_Simp,T_Code,OI_Patch_old,TPI_Site_old,Sp_Code,OI_old,TPI_Patch_old,Abundance,Occurrence,OI_Limestone,Limestone_percent,Limestone_ha,Limestone_km2,Size_fix,Size
1,18-05-2021,egeremet,2,11,egeremet11,1,29.52849977,62.80175587,0.910810621,1.090187631,57883.369,3.040406477,5,6.197275,0.02589222,473358.4215,473.3584215,2125.704,2.125704,18,5,2021,3,0.1,26.4,0.325,2977,0.7643,0.9615,110,51.73898844,0.868631241,14,25.0062045,1.013476242,0,0,21.77,13.12,0.34,0.0034,0.02249222,0.0225
1,18-05-2021,eurytheme,2,11,eurytheme11,1,4.409484431,6.273422234,0.825403153,0.895309441,57883.369,3.040406477,5,6.197275,0.02589222,473358.4215,473.3584215,2125.704,2.125704,18,5,2021,3,0.1,26.4,0.325,2977,0.7643,0.9615,110,1.07057254,0.808965127,15,1.1953948,0.865413701,0,0,3.05,13.12,0.34,0.0034,0.02249222,0.0225
1,18-05-2021,henrici,2,11,henrici11,1,55.05640544,92.05761385,1.072102795,1.218177557,32156.755,3.040406477,5,6.197275,0.02589222,473358.4215,473.3584215,2125.704,2.125704,18,5,2021,3,0.1,26.4,0.325,2977,0.7643,0.9615,110,83.65079629,1.03775423,16,46.1912218,1.155708025,1,1,49.17,13.12,0.34,0.0034,0.02249222,0.0225
1,18-05-2021,lineola,2,11,lineola11,1,35.23677062,71.70898583,0.967522463,1.123703397,57033.493,3.040406477,5,6.197275,0.02589222,473358.4215,473.3584215,2125.704,2.125704,18,5,2021,3,0.1,26.4,0.325,2977,0.7643,0.9615,110,58.54991115,0.930797495,17,29.5276374,1.056911915,0,0,27.69,13.12,0.34,0.0034,0.02249222,0.0225
1,18-05-2021,lucia,2,11,lucia11,1,47.55270433,86.36431572,1.025677711,1.122173409,57883.369,3.040406477,5,6.197275,0.02589222,473358.4215,473.3584215,2125.704,2.125704,18,5,2021,3,0.1,26.4,0.325,2977,0.7643,0.9615,110,74.09646224,1.002987352,18,19.7757581,1.080906587,0,0,40.9,13.12,0.34,0.0034,0.02249222,0.0225
1,18-05-2021,lucilius,2,11,lucilius11,1,23.50697821,51.73456001,0.871648656,1.007118776,32156.755,3.040406477,5,6.197275,0.02589222,473358.4215,473.3584215,2125.704,2.125704,18,5,2021,3,0.1,26.4,0.325,2977,0.7643,0.9615,110,40.27655535,0.839793706,19,39.9596782,0.949184367,0,0,15.94,13.12,0.34,0.0034,0.02249222,0.0225
1,18-05-2021,lygdamus,2,11,lygdamus11,1,19.25071267,43.37479449,0.902479367,0.97531584,57883.369,3.040406477,5,6.197275,0.02589222,473358.4215,473.3584215,2125.704,2.125704,18,5,2021,3,0.1,26.4,0.325,2977,0.7643,0.9615,110,28.18749965,0.885352327,20,15.5261713,0.944166993,0,0,12.17,13.12,0.34,0.0034,0.02249222,0.0225
1,18-05-2021,origenes,2,11,origenes11,1,22.15131204,49.22640893,0.867142084,0.991885995,57883.369,3.040406477,5,6.197275,0.02589222,473358.4215,473.3584215,2125.704,2.125704,18,5,2021,3,0.1,26.4,0.325,2977,0.7643,0.9615,110,37.43239727,0.837809335,21,18.5596083,0.938538698,0,0,14.7,13.12,0.34,0.0034,0.02249222,0.0225
1,18-05-2021,pegala,2,11,pegala11,1,14.08483095,29.14570083,0.87104451,0.944158871,57883.369,3.040406477,5,6.197275,0.02589222,473358.4215,473.3584215,2125.704,2.125704,18,5,2021,3,0.1,26.4,0.325,2977,0.7643,0.9615,110,11.48070036,0.853852126,22,9.1618764,0.912891184,0,0,8.54,13.12,0.34,0.0034,0.02249222,0.0225
1,18-05-2021,philodice,2,11,philodice11,1,16.15894903,34.33194391,0.88189314,0.955364159,57883.369,3.040406477,5,6.197275,0.02589222,473358.4215,473.3584215,2125.704,2.125704,18,5,2021,3,0.1,26.4,0.325,2977,0.7643,0.9615,110,16.80699249,0.86461689,23,11.7134261,0.923943945,0,0,9.89,13.12,0.34,0.0034,0.02249222,0.0225
1,18-05-2021,plexippus,2,11,plexippus11,1,18.12371539,40.48026305,0.890207267,0.96634255,57033.493,3.040406477,5,6.197275,0.02589222,473358.4215,473.3584215,2125.704,2.125704,18,5,2021,3,0.1,26.4,0.325,2977,0.7643,0.9615,110,23.70593022,0.872304532,24,14.1871206,0.933782952,0,0,11.29,13.12,0.34,0.0034,0.02249222,0.0225
1,18-05-2021,polios,2,11,polios11,1,65.60384437,97.14809218,1.104706797,1.237136646,57033.493,3.040406477,5,6.197275,0.02589222,473358.4215,473.3584215,2125.704,2.125704,18,5,2021,3,0.1,26.4,0.325,2977,0.7643,0.9615,110,93.52785205,1.073566748,25,57.059328,1.180502422,1,1,60.95,13.12,0.34,0.0034,0.02249222,0.0225
1,18-05-2021,progne,2,11,progne11,1,35.57325808,72.14795379,0.979794071,1.083225881,34149.44,3.040406477,5,6.197275,0.02589222,473358.4215,473.3584215,2125.704,2.125704,18,5,2021,3,0.1,26.4,0.325,2977,0.7643,0.9615,110,58.87927551,0.955472729,26,29.759363,1.0389928,0,0,28.05,13.12,0.34,0.0034,0.02249222,0.0225
1,18-05-2021,rapae,2,11,rapae11,1,14.62077127,30.37569679,0.866629947,0.943945713,32146.744,3.040406477,5,6.197275,0.02589222,473358.4215,473.3584215,2125.704,2.125704,18,5,2021,3,0.1,26.4,0.325,2977,0.7643,0.9615,110,12.67526889,0.848449629,27,9.8022049,0.910881276,0,0,8.88,13.12,0.34,0.0034,0.02249222,0.0225
1,18-05-2021,sassacus,2,11,sassacus11,1,45.35626985,84.1462267,1.03220487,1.203880648,57883.369,3.040406477,5,6.197275,0.02589222,473358.4215,473.3584215,2125.704,2.125704,18,5,2021,3,0.1,26.4,0.325,2977,0.7643,0.9615,110,71.22351938,0.991836358,28,38.0442984,1.130462695,0,0,38.52,13.12,0.34,0.0034,0.02249222,0.0225
1,18-05-2021,selene,2,11,selene11,1,26.24284092,56.81784214,0.925341901,1.027764457,57033.493,3.040406477,5,6.197275,0.02589222,473358.4215,473.3584215,2125.704,2.125704,18,5,2021,3,0.1,26.4,0.325,2977,0.7643,0.9615,110,45.3952649,0.901257879,29,22.1155897,0.983962988,0,0,18.54,13.12,0.34,0.0034,0.02249222,0.0225
